"zoneid","hu12_states","hu12_canopy2001_mean","hu12_nlcd2006_pct_41","hu12_nlcd2006_pct_42","hu12_nlcd2006_pct_43","hu12_nlcd2006_pct_52","hu12_nlcd2006_pct_71","hu12_tri_mean","hu12_surficialgeology_alluv_pct","hu12_surficialgeology_beach_pct","hu12_surficialgeology_colluv_pct","hu12_surficialgeology_dec_resid_pct","hu12_surficialgeology_eolian_pct","hu12_surficialgeology_gf_out_pct","hu12_surficialgeology_ice_pct","hu12_surficialgeology_lac_pct","hu12_surficialgeology_lac_clay_pct","hu12_surficialgeology_marine_pct","hu12_surficialgeology_peat_mrsh_pct","hu12_surficialgeology_saprol_pct","hu12_surficialgeology_solif_pct","hu12_surficialgeology_solut_pct","hu12_surficialgeology_till_clay_pct","hu12_surficialgeology_till_loam_pct","hu12_surficialgeology_till_oth_pct","hu12_surficialgeology_till_sand_pct","hu12_latewisconsinglaciation_glaciation"
265,"MO",9.8443,11.462,0.302,0.2912,0.1026,0.151,0.3641,13.4317,0,0,0,0,0,0,0,0,0,0,0,0,86.5683,0,0,0,0,3
266,"MO",22.6668,31.6887,0.3298,0.1622,0.1554,1.591,0.7168,15.1825,0,0,0,0,0,0,0,0,0,0,0,0,84.8175,0,0,0,0,3
267,"MO",24.6507,35.6851,0.3826,0.0396,0.3081,1.8895,0.6413,27.5499,0,0,0,0,0,0,0,0,0,0,0,0,72.4501,0,0,0,0,3
268,"MO",24.5842,37.1681,0.5289,0.025,0.0552,2.5789,0.9284,27.0489,0,0,0,0,0,0,0,0,0,0,0,0,72.9511,0,0,0,0,3
269,"MO",52.883,54.4162,6.1912,0.6017,0.1946,1.7695,1.192,0.6305,0,0,0,0,0,0,0,0,0,0,0,0,99.3695,0,0,0,0,3
270,"MO",58.5082,64.0762,6.246,1.0246,0.1673,2.3338,1.6141,16.2693,0,0,0,0,0,0,0,0,0,0,0,0,83.7307,0,0,0,0,3
271,"MO",39.3537,48.2588,4.4845,0.3125,0.3023,1.8953,1.2078,23.9688,0,0,0,0,0,0,0,0,0,0,0,0,76.0312,0,0,0,0,3
272,"MO",48.8854,54.851,2.3822,0.3949,0.0915,2.0675,1.5071,6.8278,0,0,0,0,0,0,0,0,0,0,0,0,93.0169,0,0,0,0,3
273,"MO",51.9081,48.8315,9.9827,1.2836,0.6433,1.1318,1.4334,22.8762,0,0,0,0,0,0,0,0,0,0,0,0,71.3736,0,0,0,0,3
274,"MO",30.8623,34.4543,1.8963,0.3335,0.335,1.7784,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
275,"MO",22.2212,28.5158,0.3353,0.3227,0.5155,0.6177,0.609,25.8514,0,0,0,0,0,0,0,0,0,0,0,0,74.1486,0,0,0,0,3
276,"MO",16.3722,22.3117,0.306,1.364,1.2575,0.8978,0.6453,0.5285,0,0,4.2394,0,0,0,0,0,0,0,0,0,95.232,0,0,0,0,3
277,"MO",20.3327,23.8901,0.5416,0.3203,0.2104,0.7096,0.7363,23.2145,0,0,0,0,0,0,0,0,0,0,0,0,76.7855,0,0,0,0,3
278,"MO",26.6018,31.1988,0.7442,0.3672,0.9186,1.2273,0.9369,16.3185,0,0,1.1256,0,0,0,0,0,0,0,0,0,82.5559,0,0,0,0,3
279,"MO",37.6347,42.449,1.4065,0.7508,1.7551,0.9907,1.1879,22.0381,0,0,0,0,0,0,0,0,0,0,0,0,77.9619,0,0,0,0,3
280,"MO",61.2267,67.0839,2.8624,0.4167,0.2428,4.2562,1.679,4.3312,0,0,0,0,0,0,0,0,0,0,0,0,95.6688,0,0,0,0,3
281,"MO",48.8077,52.9915,2.409,0.2671,0.0295,2.5848,1.4688,20.0093,0,0,0,0,0,0,0,0,0,0,0,0,79.9907,0,0,0,0,3
282,"MO",60.0865,62.5993,5.5983,0.8179,0.1317,3.4312,1.6184,14.8623,0,0,0,0,0,0,0,0,0,0,0,0,64.3941,0,0,0,0,3
283,"MO",83.8354,76.5567,14.8341,3.0717,0.0099,0.9775,2.3851,0,0,0,0,0,0,0,0,0,0,0,0,0,90.4315,0,0,0,0,3
284,"MO",68.7583,68.3979,7.6708,3.0639,0.1084,2.5759,1.7829,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6202,0,0,0,0,3
285,"MO",56.9431,52.4515,9.9915,2.9462,0.275,1.1078,1.4347,0,0,0,0,0,0,0,0,0,0,0,0,0,72.2143,0,0,0,0,3
286,"MO",52.3735,37.4645,14.2111,8.2835,0.8398,0.9985,1.3681,37.6763,0,0,0,0,0,0,0,0,0,0,0,0,62.3237,0,0,0,0,3
287,"MO",61.7417,60.7264,6.3196,4.6706,1.0002,2.6234,1.8285,0.4173,0,0,0,0,0,0,0,0,0,0,0,0,99.5827,0,0,0,0,3
288,"MO",60.4573,68.3466,2.177,1.7915,0.3779,1.1058,1.6951,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
289,"MO",61.3841,65.7772,3.6926,3.191,0.1811,1.1955,1.5817,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
290,"MO",61.8463,60.8919,7.824,3.0825,0.3984,2.2479,1.9056,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
291,"MO",74.72,67.1119,12.5629,5.5794,0.2504,2.0209,1.6706,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
292,"MO",63.0221,52.7319,12.8735,6.2871,0.4529,1.9901,1.4399,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
293,"MO",50.7162,33.6981,17.9032,6.1426,0.6528,2.1299,1.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
294,"MO",54.4726,44.8899,10.7052,5.7608,0.5026,1.3579,1.1463,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,3
295,"MO",34.2723,39.8702,0.8859,1.5526,0.3453,0.837,0.826,3.2575,0,0,0,0,0,0,0,0,0,0,0,0,96.7425,0,0,0,0,3
296,"MO",62.3893,71.6267,0.9199,1.7088,0.2472,1.6477,1.324,3.2666,0,0,0,0,0,0,0,0,0,0,0,0,96.7334,0,0,0,0,3
297,"MO",25.082,30.0861,1.1153,2.1409,0.4695,1.2246,0.7692,3.0329,0,0,0,0,0,0,0,0,0,0,0,0,96.9671,0,0,0,0,3
298,"MO",36.2656,44.9062,0.6076,1.4897,0.6076,1.3653,0.8377,22.487,0,0,0,0,0,0,0,0,0,0,0,0,77.513,0,0,0,0,3
