"zoneid","hu12_states","hu12_nlcd2006_pct_11","hu12_nlcd2006_pct_90","hu12_nlcd2006_pct_95","hu12_baseflowindex_mean","hu12_groundwaterrecharge_mean","hu12_prism_ppt_30yr_normal_800mm2_annual_mean","hu12_prism_tmean_30yr_normal_800mm2_annual_mean","hu12_runoff_mean","hu12_lakes_lakes4ha_overlapping_area_pct","hu12_lakes_lakes4ha_isolated_overlapping_area_pct","hu12_lakes_lakes4ha_headwater_overlapping_area_pct","hu12_lakes_lakes4ha_drstream_overlapping_area_pct","hu12_lakes_lakes4ha_drlakestream_overlapping_area_pct","hu12_lakes_lakes4to10ha_overlapping_area_pct","hu12_lakes_lakes10ha_overlapping_area_pct","hu12_streamdensity_streams_density_mperha","hu12_streamdensity_headwaters_density_mperha","hu12_streamdensity_midreaches_density_mperha","hu12_streamdensity_rivers_density_mperha","hu12_wl_allwetlandsundissolved_overlapping_area_pct","hu12_wl_isolatedwetlandsundissolved_overlapping_area_pct","hu12_wl_singlewetlandsundissolved_overlapping_area_pct","hu12_wl_connectedwetlandsundissolved_overlapping_area_pct","hu12_wl_forestedwetlandsundissolved_overlapping_area_pct","hu12_wl_scrubshrubwetlandsundissolved_overlapping_area_pct","hu12_wl_openwaterwetlandsundissolved_overlapping_area_pct"
5367,"IL",0.4712,0.0282,0,29.1379,65.2759,947.3839,10.0896,8.7781,0.1609,0.1609,0,0,0,0.1609,0,11.1486,11.1486,0,0,0.2744,0.0237,0.0013,0.2494,0.2392,0.0098,0.0255
5368,"IL",0.4009,0,0,29.1724,65.3448,938.8129,10.0588,8.8206,0.1842,0.1842,0,0,0,0,0.1842,12.3545,10.3137,2.0408,0,0.3067,0.0196,7e-04,0.2863,0.255,0,0.0516
5369,"IL",0,0.0387,0,30.3103,68.023,932.5891,10.0671,8.811,0,0,0,0,0,0,0,15.2001,13.703,1.4971,0,0.1347,0.0281,0,0.1065,0.0849,0,0.0498
5370,"IL",0.016,0.0269,0,33.566,75.1321,931.2269,9.8194,8.7622,0,0,0,0,0,0,0,17.8445,16.0066,1.838,0,0.3683,0,0.0126,0.3557,0.3484,0.0093,0.0105
5371,"IL",0,0.0392,0,32.4368,72.8506,926.8804,10.1444,8.732,0,0,0,0,0,0,0,15.151,12.2928,2.8582,0,0.3533,0.027,0.011,0.3153,0.2953,0.0077,0.0503
5372,"IL",0.1117,0.0039,0,36.0889,81.1185,933.7547,9.8526,8.8798,0,0,0,0,0,0,0,13.157,12.4676,0.6894,0,0.028,0.0134,0.0017,0.0129,0.0017,0.003,0.0234
5373,"IL",1.4717,0.0066,0,35.4697,79.6515,940.0342,9.877,8.8531,0.1575,0,0,0.1575,0,0.1575,0,11.1977,10.6783,0.5194,0,0.1943,0.0994,0.0478,0.0471,0.0753,0,0.119
5374,"IL",0.0134,0.3366,0.0588,31.9697,95.3788,977.7897,10.034,11.864,0,0,0,0,0,0,0,6.0797,6.0797,0,0,0.6691,0.6438,0,0.0254,0.009,0.0182,0.6419
5375,"IL",0.1166,0.5014,0.1589,31.4948,94,984.8688,10.0309,11.8617,0.0675,0.0675,0,0,0,0.0675,0,6.2675,6.2675,0,0,0.8818,0.503,0.0364,0.3423,0.1356,0.0173,0.7284
5376,"IL",0,0.1933,0,32.6875,93.8125,974.7615,10.0822,11.4977,0,0,0,0,0,0,0,9.3175,9.3175,0,0,0.5827,0.2205,0.0226,0.3396,0.0954,0.0018,0.4855
