"hu12_lat","hu12_long"
36.5545425,-94.3193207
37.6435089,-94.4880905
37.6556244,-94.5715485
37.0902557,-94.4894104
36.5740623,-93.8394318
36.6206627,-93.7218781
36.5853958,-93.65448
36.6058426,-93.5614471
36.5934067,-93.4157486
36.633194,-93.3511505
37.2018089,-92.7920837
37.244381,-92.8930511
37.1794357,-92.968071
37.2677383,-92.9789047
37.1888008,-93.0689545
37.2247581,-93.1754684
37.1748619,-93.1405945
37.140831,-93.2068024
37.113266,-92.7970276
37.039444,-92.8996429
37.1100311,-92.9162903
37.0904617,-93.0241165
37.0391083,-93.0041122
37.0569611,-93.1160812
36.98629,-93.2008743
37.0333595,-93.2348938
36.9697342,-93.2858734
37.1938095,-93.3198166
37.068634,-93.4815826
37.1205063,-93.4108887
37.0948792,-93.2795792
37.0217628,-93.3835526
36.6437759,-93.8972168
36.7108231,-93.8480301
36.858078,-93.8265686
36.7718277,-93.8369293
36.8308029,-93.6845093
36.6971474,-93.7377777
36.7964172,-93.7364655
36.817627,-93.5722046
36.7518158,-93.6128082
36.858036,-93.3556442
36.9342461,-93.6491928
36.9831619,-93.5199966
36.8989792,-93.576149
36.9313202,-93.4590836
36.92099,-93.3762894
36.7818451,-93.3914719
36.8350639,-93.4740829
36.7753944,-93.4733353
36.6807518,-93.6001663
36.6887093,-93.4270401
36.6939507,-93.5125732
36.6175232,-93.2738266
36.7008438,-93.3035965
36.8935852,-93.2328262
36.9293633,-93.1198273
36.794426,-93.2798386
36.8003006,-93.172966
36.7235565,-93.2268295
36.6543694,-93.1965332
36.6759186,-93.147728
36.9965172,-92.6904602
37.0269241,-92.7672272
36.8729973,-92.6822891
36.9253769,-92.7744598
36.8044815,-92.772728
36.9449425,-92.8522339
36.8606262,-92.8908463
36.802433,-92.8478241
36.7123642,-92.8592453
36.7690315,-92.94384
36.6450691,-92.9180603
36.694416,-92.9434891
36.699276,-93.015625
36.9877548,-92.940094
36.9287224,-92.9912338
36.8741379,-93.0112305
36.8172798,-93.0462036
36.7466087,-93.0908203
36.6689758,-93.0824051
36.6105194,-93.054306
36.5602112,-93.0574646
36.7762489,-92.6593704
36.7246933,-92.5820007
36.6700592,-92.5284576
36.6640549,-92.7095413
36.6497917,-92.6363754
36.5973282,-92.5452194
36.5583,-92.5391693
36.5579872,-92.6617203
36.642868,-92.7699203
36.6261482,-92.8257523
37.0759888,-92.1913071
36.9917526,-92.2580338
36.9917412,-92.1707993
36.9998856,-92.0875626
36.94524,-92.0702209
36.8514252,-91.9615021
36.8471031,-92.0527496
36.7806129,-92.0304337
36.8986282,-92.0550232
36.8670044,-92.1936722
37.0418091,-92.35009
36.933075,-92.3852539
37.0550003,-92.4759521
37.0526848,-92.6001053
36.9261551,-92.5915375
36.9651489,-92.5021591
36.8624115,-92.4918976
36.7813263,-92.4770279
36.8730774,-92.307663
36.7794495,-92.3033142
36.6845512,-92.3691101
36.661087,-92.3008118
36.7613907,-92.1483459
36.693222,-91.9997635
36.6573601,-92.1171875
36.7070885,-92.1977081
36.5865059,-92.1816177
36.6083832,-92.2542648
36.606617,-92.4400864
36.5548782,-92.355957
37.5066566,-91.768898
38.3719749,-94.4677277
38.3098755,-94.4020996
38.2699623,-94.2940521
38.2389107,-94.3915253
38.187706,-94.3323059
37.3613663,-91.9793701
37.4613876,-91.960495
37.5113258,-92.0850601
37.5148315,-91.9983292
37.5979691,-91.8650131
37.5647964,-91.9009323
37.6998291,-91.9625168
37.5782852,-92.0063782
37.6226654,-92.077919
37.7078781,-92.0805511
37.8061142,-92.0595474
37.7184448,-91.7614136
37.6583672,-91.8194427
37.7521362,-91.8869705
37.7799454,-91.8021851
37.8686447,-91.7883835
37.8510857,-91.8539963
37.8242073,-91.9451828
37.9174232,-91.8972397
38.1347885,-94.4577026
38.1854515,-94.43927
38.1779861,-94.2466888
38.1135368,-94.2718658
38.0494728,-94.4999771
38.0023994,-94.4150238
37.9846649,-94.2780609
38.0683289,-94.3268661
37.5562325,-94.4797592
37.7969551,-94.5035324
37.8811111,-94.5517349
37.571022,-94.3533249
37.6759605,-94.3369446
37.6435165,-94.3914032
